task,trial,turns,reward,patch,tests_passed,benchmarks_measured,source
optuna,_Ug8Z2cL,32,1.4548,True,True,6,trials-old-buggy
optuna,_y3ASuVe,32,1.504,True,True,6,trials-old-buggy
optuna,_rVAUGmF,32,1.4771,True,True,6,trials-old-buggy
optuna,_MAwpanc,32,1.5242,True,True,6,trials-old-buggy
optuna,_hcvrAXz,32,1.4535,True,True,6,trials-old-buggy
optuna,_hCnVDHE,32,1.5301,True,True,6,trials-old-buggy
optuna,_3ChB5B8,32,1.5087,True,True,6,trials-old-buggy
optuna,_z4Sp5fW,32,1.5176,True,True,6,trials-old-buggy
optuna,_jGMo69Q,32,1.478,True,True,6,trials-old-buggy
optuna,_9gqbSgc,32,1.4993,True,True,6,trials-old-buggy
optuna,_8uwKMuR,32,1.4815,True,True,6,trials-old-buggy
optuna,_hf3aWsM,32,0,False,True,0,trials-old-buggy
optuna,_CLdgGgj,32,1.4638,True,True,6,trials-old-buggy
optuna,_CetgNd8,32,1.5138,True,True,6,trials-old-buggy
optuna,_9ZpmMFm,32,1.5075,True,True,6,trials-old-buggy
optuna,_Cm4udTq,32,1.4842,True,True,6,trials-old-buggy
optuna,_jgTqFNA,32,1.5099,True,True,6,trials-old-buggy
optuna,_tcBXxCN,32,1.5026,True,True,6,trials-old-buggy
optuna,_6pjs9PS,32,1.4564,True,True,6,trials-old-buggy
optuna,_gXExiQx,32,1.4913,True,True,6,trials-old-buggy
optuna,_NgPU4Kp,32,1.5218,True,True,6,trials-old-buggy
optuna,_X8cpNTo,32,1.5099,True,True,6,trials-old-buggy
optuna,_yTDDaXi,32,1.4449,True,True,6,trials-old-buggy
optuna,_YrowTiE,32,1.4487,True,True,6,trials-old-buggy
optuna,_NetVke5,32,1.486,True,True,6,trials-old-buggy
optuna,_KSizTnY,32,1.4964,True,True,6,trials-old-buggy
optuna,_c2zEusp,32,1.509,True,True,6,trials-old-buggy
optuna,_zMQSmYq,32,1.5075,True,True,6,trials-old-buggy
optuna,_bjYakgh,32,1.4762,True,True,6,trials-old-buggy
pvlib,_fgMzB8c,50,,,,0,harbor_latest
pvlib,_BakXKgj,52,,,,0,harbor_latest
pvlib,_nUw8UmQ,81,,,,0,harbor_latest
pvlib,_6DoKM4x,90,,,,0,harbor_latest
pvlib,_q5Q8YA3,100,,,,0,harbor_latest
pvlib,_i3tgami,102,,,,0,harbor_latest
pvlib,_NnLeV9P,105,,,,0,harbor_latest
pvlib,_Tfy38ku,130,,,,0,harbor_latest
pvlib,_hcTx8N9,140,,,,0,harbor_latest
pvlib,_9DySNpK,150,,,,0,harbor_latest
pvlib,_pbVzoZ2,150,0,False,True,0,harbor_latest
pvlib_old,_JogorK7,32,0,True,True,0,trials-old-buggy
pvlib_old,_TvFEZUg,32,0,True,True,0,trials-old-buggy
pvlib_old,_Aiq8jRP,32,0,True,True,0,trials-old-buggy
pvlib_old,_nhetwCX,32,0,True,True,0,trials-old-buggy
pvlib_old,_4pe327r,32,0,True,True,0,trials-old-buggy
pvlib_old,_Yo5qg46,32,0,True,True,0,trials-old-buggy
pvlib_old,_HSEwqV8,32,0,True,True,0,trials-old-buggy
pvlib_old,_7ZhLhWQ,32,0,True,True,0,trials-old-buggy
pvlib_old,_RQNdBdE,32,0,True,True,0,trials-old-buggy
pvlib_old,_YN2ApWE,32,0,True,True,0,trials-old-buggy
pvlib_old,_CkDNtkR,32,0.8183,True,True,1,trials-old-buggy
pvlib_old,_Mbp6hVo,32,0,True,True,0,trials-old-buggy
pvlib_old,_QD68aBX,32,1.0202,True,True,2,trials-old-buggy
pvlib_old,_vmA3ivu,32,0,True,True,0,trials-old-buggy
pvlib_old,_z5jBLND,32,0,True,False,0,trials-old-buggy
pvlib_old,_zBtMFLk,32,0,True,True,0,trials-old-buggy
pvlib_old,_uKTvgTF,32,0,True,True,0,trials-old-buggy
pvlib_old,_Uu8kroS,32,0,True,True,0,trials-old-buggy
pvlib_old,_cnZfK3q,32,0,True,True,0,trials-old-buggy
pvlib_old,_qE33B6Y,32,0,True,True,0,trials-old-buggy
pvlib_old,_EJeLk72,32,0,True,True,0,trials-old-buggy
pvlib_old,_ez5eftW,32,0,True,True,0,trials-old-buggy
pvlib_old,_BWLv2ML,32,0,True,True,0,trials-old-buggy
pvlib_old,_sMhY4pN,32,0,True,True,0,trials-old-buggy
pvlib_old,_fHogXnE,32,0,True,True,0,trials-old-buggy
pvlib_old,_8pWir7a,32,0,True,True,0,trials-old-buggy
pvlib_old,_q7o52cb,32,0,True,False,0,trials-old-buggy
pvlib_old,_5ZhQ4NN,32,0,True,True,0,trials-old-buggy
qcodes,_La8DFL3,27,,,,0,trials
qcodes,_8MyvpPd,32,0,False,True,0,trials-old-buggy
qcodes,_iBjotHC,32,0,False,True,0,trials-old-buggy
qcodes,_wkZtCJa,32,0,False,True,0,trials-old-buggy
qcodes,_QYNXaMo,32,0,False,True,0,trials-old-buggy
qcodes,_k3pAj7j,32,0,False,True,0,trials-old-buggy
qcodes,_RPLPeb7,32,0.6776,True,True,4,trials-old-buggy
qcodes,_QTM4wh3,32,0,False,True,0,trials-old-buggy
qcodes,_jHksPKa,32,0,False,True,0,trials-old-buggy
qcodes,_vAMGxsB,32,0,False,True,0,trials-old-buggy
qcodes,_Q7mGZCU,32,0,False,True,0,trials-old-buggy
qcodes,_JisivGC,32,0,False,True,0,trials-old-buggy
qcodes,_t2rRRxg,32,0,False,True,0,trials-old-buggy
qcodes,_Gy3QsMC,32,0,False,True,0,trials-old-buggy
qcodes,_PzJer75,32,0,False,True,0,trials-old-buggy
qcodes,_vsoYt9E,32,0,False,True,0,trials-old-buggy
qcodes,_mYSRmRa,32,0,False,True,0,trials-old-buggy
qcodes,_cpHUBgU,32,0,False,True,0,trials-old-buggy
qcodes,_d7hFTgy,32,0,False,True,0,trials-old-buggy
qcodes,_A9MfiKh,32,0,False,True,0,trials-old-buggy
qcodes,_svRUjcg,32,0,False,True,0,trials-old-buggy
qcodes,_Ji4Nocf,32,0,False,True,0,trials-old-buggy
qcodes,_mDY5cNT,32,0,False,True,0,trials-old-buggy
qcodes,_YDMNKN2,32,0,False,True,0,trials-old-buggy
qcodes,_t46N2vs,32,0,False,True,0,trials-old-buggy
qcodes,_yJ7kpu6,32,0,False,True,0,trials-old-buggy
qcodes,_YagKr7d,32,0,False,True,0,trials-old-buggy
qcodes,_kPRyJNP,32,0,True,True,0,trials-old-buggy
qcodes,_CWTTsAu,32,0,False,True,0,trials-old-buggy
qcodes,_BQme5tT,32,0,False,True,0,trials-old-buggy
qcodes,_6W6oSSg,32,0,False,True,0,trials-old-buggy
qcodes,_TRZRdSg,32,0,False,True,0,trials-old-buggy
qcodes,_4aNfdnt,32,0,False,True,0,trials-old-buggy
qcodes,_kVsvsgx,32,0,False,True,0,trials-old-buggy
qcodes,_4EpVZMk,32,0,False,True,0,trials-old-buggy
qcodes,_nq6ukq9,32,0,False,True,0,trials-old-buggy
qcodes,_pSgTSzT,32,0,False,True,0,trials-old-buggy
qcodes,_z5aEe24,32,0,False,True,0,trials-old-buggy
qcodes,_XdPZ7jD,42,,,,0,trials
qcodes,_fjTaAnh,48,,,,0,trials
qcodes,_JeCo8sb,51,,,,0,trials
qcodes,_iH5kVLW,64,0,False,True,0,trials
shapely,_cBccGAi,32,0,True,True,0,trials-old-buggy
shapely,_PM4uozb,32,0,True,True,0,trials-old-buggy
shapely,_58QJ4Ra,32,0,True,True,0,trials-old-buggy
shapely,_TBFwDfJ,32,0,True,True,0,trials-old-buggy
shapely,_F9MRrF2,32,0,True,True,0,trials-old-buggy
shapely,_KX2SmFG,32,0,True,True,0,trials-old-buggy
shapely,_5f7WSpu,32,0,True,True,0,trials-old-buggy
shapely,_sriWSJ6,32,0,True,True,0,trials-old-buggy
shapely,_oEDezSP,32,0,True,True,0,trials-old-buggy
shapely,_PwuNZFV,32,0,True,True,0,trials-old-buggy
shapely,_QKtRrQ7,32,0,True,True,0,trials-old-buggy
shapely,_ujN7BnS,32,0,True,True,0,trials-old-buggy
shapely,_AgJfiQn,32,0,True,True,0,trials-old-buggy
shapely,_RQiWawV,32,0,True,True,0,trials-old-buggy
shapely,_mdxEnaS,32,0,True,True,0,trials-old-buggy
shapely,_cYzFFms,32,0,True,True,0,trials-old-buggy
shapely,_UaroCg4,32,0,True,True,0,trials-old-buggy
shapely,_VdJXDMP,32,0,True,True,0,trials-old-buggy
shapely,_Qf8AGqm,32,,,,0,trials-old-buggy
shapely,_3m2CA6F,32,0,True,True,0,trials-old-buggy
shapely,_NdJaNrJ,32,0,True,True,0,trials-old-buggy
shapely,_qTUWoxF,32,0,True,True,0,trials-old-buggy
shapely,_YQwZFRi,32,0,True,True,0,trials-old-buggy
shapely,_KVYTYFk,32,0,True,True,0,trials-old-buggy
shapely,_bnEXZ2u,32,0,True,True,0,trials-old-buggy
shapely,_GhmHTsf,32,0,True,True,0,trials-old-buggy
shapely,_3qSCCSz,32,0,True,True,0,trials-old-buggy
shapely,_UYjtCHB,32,0,True,True,0,trials-old-buggy
shapely,_RHEBR4V,32,0,True,True,0,trials-old-buggy
shapely,_fF55krA,32,0,True,True,0,trials-old-buggy
shapely,_58WyrXZ,32,0,True,True,0,trials-old-buggy
shapely,_3TfCETk,32,0,True,True,0,trials-old-buggy
shapely,_k7SA6nw,32,0,True,True,0,trials-old-buggy
shapely,_RR524FQ,32,0,True,True,0,trials-old-buggy
shapely,_rJWJwSP,32,0,True,True,0,trials-old-buggy
shapely,_givkLDw,32,0,True,True,0,trials-old-buggy
shapely,_9Sj7EeX,32,0,True,True,0,trials-old-buggy
shapely,_mz2k9Uk,32,0,True,True,0,trials-old-buggy
shapely,_USomcgx,32,0,True,True,0,trials-old-buggy
shapely,_JhZyfef,32,0,True,True,0,trials-old-buggy
